id;department_id;postal_code;name;insee_code;latitude;longitude
191;1;1420;Chanay;1082;46;5.783333
192;1;1200;Châtillon-en-Michaille;1091;46.133333;5.783333
193;1;1510;Chavornay;1097;45.883333;5.7
194;1;1300;Chazey-Bons;1098;45.8;5.683333
195;1;1510;Cheignieu-la-Balme;1100;45.833333;5.616667
196;1;1430;Chevillard;1101;46.116667;5.583333
197;1;1170;Chevry;1103;46.283333;6.033333
198;1;1200;Chézery-Forens;1104;46.216667;5.883333
199;1;1230;Cleyzieu;1107;45.9;5.433333
200;1;1550;Collonges;1109;46.133333;5.9
201;1;1300;Colomieu;1110;45.733333;5.616667
202;1;1230;Conand;1111;45.883333;5.466667
203;1;1430;Condamine;1112;46.116667;5.566667
204;1;1200;Confort;1114;46.15;5.816667
205;1;1300;Contrevoz;1116;45.8;5.633333
206;1;1300;Conzieu;1117;45.733333;5.6
207;1;1420;Corbonod;1118;45.95;5.816667
208;1;1110;Corcelles;1119;46.033333;5.583333
209;1;1110;Corlier;1121;46.033333;5.5
210;1;1110;Cormaranche-en-Bugey;1122;45.95;5.6
211;1;1350;Cressin-Rochefort;1133;45.766667;5.766667
212;1;1170;Crozet;1135;0;0
213;1;1350;Culoz;1138;45.85;5.783333
214;1;1300;Cuzieu;1141;0;0
215;1;1220;Divonne-les-Bains;1143;46.366667;6.133333
216;1;1170;Echenevex;1153;46.316667;6.033333
217;1;1230;Evosges;1155;45.958333;5.5
218;1;1550;Farges;1158;46.166667;5.916667
219;1;1210;Ferney-Voltaire;1160;46.25;6.116667
220;1;1350;Flaxieu;1162;45.816667;5.733333
221;1;1170;Gex;1173;46.333333;6.066667
222;1;1130;Giron;1174;46.233333;5.766667
223;1;1220;Grilly;1180;46.333333;6.116667
224;1;1680;Groslée;1182;45.716667;5.566667
225;1;1110;Hauteville-Lompnes;1185;45.966667;5.6
226;1;1110;Hostiaz;1186;45.9;5.533333
227;1;1260;Hotonnes;1187;46;5.683333
228;1;1200;Injoux-Génissiat;1189;46.05;5.783333
229;1;1680;Innimond;1190;45.783333;5.566667
230;1;1430;Izenave;1191;46.033333;5.533333
231;1;1300;Izieu;1193;45.65;5.633333
232;1;1510;La Burbanche;1066;45.85;5.566667
233;1;1200;Lancrans;1205;46.133333;5.833333
234;1;1430;Lantenay;1206;46.05;5.533333
235;1;1350;Lavours;1208;45.8;5.766667
236;1;1200;Léaz;1209;46.1;5.883333
237;1;1260;Le Grand-Abergement;1176;46.033333;5.666667
238;1;1410;Lélex;1210;46.3;5.95
239;1;1260;Le Petit-Abergement;1292;46.033333;5.65
240;1;1420;Lhôpital;1215;0;0
241;1;1680;Lhuis;1216;45.75;5.533333
242;1;1260;Lochieu;1218;45.933333;5.716667
243;1;1680;Lompnas;1219;45.8;5.516667
244;1;1260;Lompnieu;1221;45.966667;5.65
245;1;1300;Magnieu;1227;45.783333;5.716667
246;1;1680;Marchamp;1233;45.783333;5.55
247;1;1300;Marignieu;1234;45.8;5.716667
248;1;1300;Massignieu-de-Rives;1239;45.75;5.766667
249;1;1170;Mijoux;1247;46.366667;6
250;1;1470;Montagnieu;1255;45.8;5.466667
251;1;1200;Montanges;1257;46.166667;5.8
252;1;1300;Murs-et-Gélignieux;1268;45.633333;5.666667
253;1;1300;Nattages;1271;45.733333;5.766667
254;1;1230;Nivollet-Montgriffon;1277;45.983333;5.433333
255;1;1230;Oncieu;1279;45.95;5.466667
256;1;1510;Ordonnaz;1280;45.833333;5.533333
257;1;1210;Ornex;1281;46.283333;6.1
258;1;1430;Outriaz;1282;46.066667;5.55
259;1;1300;Parves;1286;45.75;5.75
260;1;1630;Péron;1288;46.2;5.933333
261;1;1300;Peyrieu;1294;0;0
262;1;1130;Plagne;1298;46.183333;5.733333
263;1;1350;Pollieu;1302;45.8;5.75
264;1;1550;Pougny;1308;46.133333;5.95
265;1;1300;Prémeyzel;1310;45.683333;5.65
266;1;1510;Prémillieu;1311;45.866667;5.566667
267;1;1280;Prévessin-Moëns;1313;46.25;6.083333
268;1;1510;Pugieu;1316;45.816667;5.65
269;1;1510;Rossillon;1329;45.833333;5.6
270;1;1260;Ruffieu;1330;46;5.666667
271;1;1300;Saint-Benoît;1338;45.7;5.583333
272;1;1300;Saint-Bois;1340;45.7;5.633333
273;1;1300;Saint-Champ;1341;45.783333;5.733333
274;1;1630;Saint-Genis-Pouilly;1354;46.25;6.016667
275;1;1130;Saint-Germain-de-Joux;1357;46.183333;5.733333
276;1;1300;Saint-Germain-les-Paroisses;1358;45.766667;5.616667
277;1;1630;Saint-Jean-de-Gonville;1360;46.216667;5.95
278;1;1510;Saint-Martin-de-Bavel;1372;45.85;5.683333
279;1;1230;Saint-Rambert-en-Bugey;1384;45.95;5.433333
280;1;1220;Sauverny;1397;46.316667;6.116667
281;1;1170;Ségny;1399;46.3;6.083333
282;1;1470;Seillonnaz;1400;45.8;5.483333
283;1;1630;Sergy;1401;46.25;6
284;1;1470;Serrières-de-Briord;1403;0;0
285;1;1420;Seyssel;1407;45.96;5.83
286;1;1260;Songieu;1409;45.966667;5.7
287;1;1420;Surjoux;1413;46.016667;5.8
288;1;1260;Sutrieu;1414;45.95;5.65
289;1;1510;Talissieu;1415;45.866667;5.716667
290;1;1230;Tenay;1416;45.916667;5.5
291;1;1110;Thézillieu;1417;45.883333;5.6
292;1;1710;Thoiry;1419;0;0
293;1;1230;Torcieu;1421;45.916667;5.4
294;1;1210;Versonnex;1435;0;0
295;1;1170;Vesancy;1436;46.35;6.083333
296;1;1260;Vieu;1442;45.9;5.683333
297;1;1430;Vieu-d'Izenave;1441;46.083333;5.533333
298;1;1200;Villes;1448;46.083333;5.783333
299;1;1510;Virieu-le-Grand;1452;45.85;5.65
300;1;1260;Virieu-le-Petit;1453;45.9;5.716667
301;1;1300;Virignin;1454;45.716667;5.716667
302;1;1350;Vongnes;1456;45.816667;5.716667
303;1;1330;Ambérieux-en-Dombes;1005;46;4.9
304;1;1190;Arbigny;1016;46.466667;4.966667
305;1;1480;Ars-sur-Formans;1021;45.983333;4.816667
306;1;1570;Asnières-sur-Saône;1023;46.383333;4.883333
307;1;1380;Bâgé-la-Ville;1025;46.316667;4.95
308;1;1380;Bâgé-le-Châtel;1026;46.3;4.933333
309;1;1990;Baneins;1028;46.116667;4.9
310;1;1480;Beauregard;1030;0;0
311;1;1290;Bey;1042;46.216667;4.85
312;1;1700;Beynost;1043;45.833333;5
313;1;1330;Birieux;1045;45.95;5.033333
314;1;1290;Biziat;1046;46.216667;4.933333
